,종목코드,기업명,상장일
580,133820,화인베스틸,2014-07-22
581,000850,화천기공,1999-11-18
582,016580,환인제약,1996-07-03
583,032560,황금에스티,2009-10-29
584,094280,효성 ITX,2007-10-25
585,093370,후성,2006-12-22
586,005870,휴니드테크놀러지스,1991-09-03
587,079980,휴비스,2012-02-23
588,005010,휴스틸,1973-06-29
589,069260,휴켐스,2002-10-07
590,000540,흥국화재,1974-12-05
